,1-1.txt,1-2.txt,2-1.txt,2-2.txt,3-1.txt,4-1.txt,5-1.txt,6-1.txt,6-2.txt,7-1.txt,7-2.txt,7-3.txt,7-4.txt,7-5.txt,7-6.txt,7-7.txt,8-1.txt,8-2.txt,8-3.txt,8-4.txt,8-5.txt,8-6.txt,8-7.txt,8-8.txt,9-1.txt,9-2.txt,9-3.txt,9-4.txt,10-1.txt,10-2.txt,10-3.txt,10-4.txt,11-1.txt,11-2.txt,11-3.txt,11-4.txt,11-5.txt,11-6.txt,12-1.txt,12-2.txt,12-3.txt,13-1.txt,13-2.txt,13-3.txt,13-4.txt,13-5.txt,14-1.txt,14-2.txt,14-3.txt,15-1.txt,15-2.txt,15-3.txt,16-1.txt,16-2.txt,16-3.txt,17-1.txt,17-2.txt,17-3.txt,17-4.txt,17-5.txt,18-1.txt,18-2.txt,18-3.txt,18-4.txt,18-5.txt,19-1.txt,19-2.txt,19-3.txt,19-4.txt,19-5.txt,20.c,21.c,22.c,23.c,24.c,25.c,26.c,27.c,28.c,29.c,sum
20200001,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,2.00,2.00,0,2.00,2.00,2.00,2.00,2.00,0,72.00
20200002,0,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,0,1.00,1.00,1.00,2.00,2.00,0,0,2.00,2.00,2.00,2.00,0,71.00
20200003,0,0,1.00,1.00,1.00,1.00,0,0,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,0,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,0,1.00,2.00,2.00,2.00,2.00,0,2.00,2.00,2.00,0,69.00
20200004,0,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,0,0,0,70.00
20200005,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,2.00,2.00,0,2.00,0,2.00,2.00,2.00,0,73.00
20200006,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0,80.00
20200007,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0,85.00
20200008,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0,84.00
20200009,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0,2.00,0,2.00,2.00,2.00,0,81.00
20200010,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0,2.00,2.00,2.00,2.00,2.00,0,77.00
